0.935658 0.832674 0.415235 0.056030 -0.018959 -0.186375 -0.272576 -0.172844 0.004892 -0.036379 -0.039164 -0.080900
0.944429 0.853357 0.485129 0.127956 -0.028544 -0.246614 -0.304848 -0.135926 0.001091 -0.023924 -0.042773 -0.134457
1.021957 1.001374 0.727491 0.134162 -0.025729 -0.035470 0.091042 0.245231 0.157470 0.015778 -0.031604 0.051930
1.005499 0.965735 0.647867 0.081130 -0.021792 -0.038882 0.115915 0.221416 0.146199 0.014682 0.015799 -0.005668
0.997608 0.955999 0.661116 0.153421 0.006350 0.037539 0.081676 0.062814 0.092367 0.124063 -0.059910 -0.218114
0.987111 0.935620 0.615739 0.101890 -0.027546 0.012151 0.062480 0.068845 0.121703 0.104937 -0.125817 -0.235384
0.964444 0.892968 0.609084 0.348129 0.091745 -0.014703 -0.092910 0.024142 0.131957 0.080693 0.012442 0.022518
0.973037 0.916436 0.676405 0.324503 0.047102 -0.031323 -0.050899 0.086469 0.109814 0.062081 0.002914 0.048025
0.884934 0.734476 0.206488 -0.202892 -0.115523 0.041421 0.064748 -0.254779 -0.220970 0.215483 0.291521 -0.091006
0.890094 0.745574 0.248878 -0.133786 -0.113450 0.112906 0.086215 -0.279350 -0.156438 0.280467 0.256701 -0.105148
0.968206 0.895799 0.535503 0.152832 0.192607 0.103857 0.122152 0.041817 -0.201832 -0.278649 -0.189368 0.118358
0.970963 0.903779 0.567833 0.205359 0.180144 0.093666 0.126239 0.002440 -0.239532 -0.281797 -0.095907 0.199796
1.015656 0.994227 0.759608 0.262697 0.079392 -0.143534 -0.399288 -0.290095 -0.241770 -0.152613 0.009180 0.030778
1.006038 0.973868 0.702446 0.196838 0.036222 -0.215963 -0.389609 -0.269408 -0.217694 -0.089574 0.066504 0.058797
0.964543 0.883485 0.495094 0.111465 0.157251 0.112316 0.311856 0.328538 -0.003258 -0.093812 -0.001228 0.134792
0.943540 0.848486 0.458821 0.138102 0.155292 0.143491 0.390412 0.296302 -0.062907 -0.093590 0.026859 0.188075
1.004542 0.978212 0.751353 0.212390 -0.087350 -0.026039 0.104887 -0.005228 -0.147992 -0.282317 -0.232419 0.059391
1.005110 0.976276 0.724559 0.170664 -0.077225 -0.013235 0.066880 -0.072713 -0.206519 -0.318952 -0.194830 0.058177
0.972234 0.920181 0.630061 0.134785 -0.095663 -0.031442 -0.064725 0.022843 0.024486 -0.130376 -0.242014 0.018615
0.980890 0.931047 0.632488 0.144400 -0.077140 -0.029043 -0.067499 0.082684 0.020024 -0.192160 -0.231394 0.055048
1.033798 1.017754 0.726783 0.099916 -0.211029 -0.242266 -0.120809 0.074127 0.122303 0.003356 -0.046645 0.179794
1.016051 0.981314 0.649407 0.031633 -0.237276 -0.221815 -0.071506 0.126063 0.075191 -0.033875 -0.000764 0.252423
0.981683 0.921337 0.581630 0.080674 -0.139414 -0.065095 0.053534 -0.165475 -0.371716 -0.164161 -0.137062 -0.266779
0.991953 0.940044 0.599860 0.028872 -0.173562 -0.039791 0.007256 -0.225090 -0.275768 -0.096968 -0.206200 -0.218653
0.987719 0.941237 0.664187 0.164409 -0.091741 -0.235954 -0.110175 0.057769 0.030173 -0.142984 0.032842 0.148467
0.989596 0.944460 0.656293 0.126959 -0.139774 -0.235645 -0.077808 0.044839 -0.061715 -0.144294 0.090502 0.129167
0.936712 0.840891 0.476288 0.027084 -0.149869 -0.055023 0.105915 0.053718 0.049630 0.041413 0.026460 -0.157109
0.965684 0.893704 0.535106 -0.017939 -0.157933 -0.027153 0.102618 0.027027 0.008636 0.053109 0.037428 -0.146488
0.959053 0.889524 0.569558 0.050041 0.054131 0.174643 -0.000740 -0.129687 -0.087829 -0.107674 -0.134714 -0.164506
0.969223 0.908529 0.575099 -0.003220 0.046077 0.126835 -0.043164 -0.103891 -0.073203 -0.099685 -0.148702 -0.168058
0.969656 0.899508 0.531117 0.000649 -0.097123 -0.113338 -0.056047 0.013015 0.041784 0.011873 0.051507 0.138979
0.974594 0.907104 0.547843 0.074107 -0.051994 -0.098896 -0.055187 -0.014449 0.002538 -0.023662 0.057889 0.100545
0.951242 0.860025 0.444622 0.001724 0.033679 0.099636 0.336380 0.277065 0.004133 0.079800 0.237172 0.192769
0.966161 0.886853 0.471338 -0.021682 -0.010683 0.114011 0.391860 0.190937 -0.045731 0.131159 0.282997 0.212801
0.990389 0.938063 0.605291 -0.014364 -0.172711 -0.084142 -0.078942 -0.118827 0.018385 -0.013427 -0.223722 -0.221159
0.974130 0.910784 0.564980 -0.046662 -0.159333 -0.078107 -0.098582 -0.084762 0.057523 -0.062365 -0.236948 -0.191434
0.963140 0.901340 0.630235 0.150123 -0.050490 -0.064137 0.035776 0.172019 0.274897 0.290697 0.101379 -0.059384
0.988090 0.951207 0.711556 0.169894 -0.024727 -0.023101 0.090693 0.176172 0.290669 0.243810 0.063924 -0.072691
1.034797 1.019019 0.722855 0.095421 -0.142354 0.077626 0.144345 0.034375 -0.184758 -0.487448 -0.260469 -0.089124
